name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Hanoi,2025-10-02T00:00:00,26,26,25,94.23,0,0,,0,0,13.3,3.6,158.9,1013,92.8,7,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-10-02T01:00:00,26,26,25,94.23,0,0,,0,0,13.7,7.6,70,1012,89.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,VVNB
Hanoi,2025-10-02T02:00:00,25,25,25,100,0.3,100,rain,0,0,13,5.4,90,1012,91.2,8,0,0,0,10,"Rain, Overcast",rain,VVNB
Hanoi,2025-10-02T03:00:00,25,25,25,100,0,0,,0,0,11.9,5.4,60,1011,95.8,5,0,0,0,10,Overcast,cloudy,VVNB
Hanoi,2025-10-02T04:00:00,25,25,24,94.19,0,0,,0,0,11.2,7.6,90,1011,25,4,0,0,0,10,Partially cloudy,partly-cloudy-night,VVNB
Hanoi,2025-10-02T05:00:00,25,25,24,94.19,0,0,,0,0,9.7,9.4,80,1011,25,4,0,0,0,10,Partially cloudy,partly-cloudy-night,VVNB
Hanoi,2025-10-02T06:00:00,25,25,24,94.19,0,0,,0,0,9,7.6,70,1012,25,3,0.6,0,0,10,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T07:00:00,26,26,25,94.23,0,0,,0,0,13.3,9.4,70,1013,53,4,66.9,0.2,1,10,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T08:00:00,27,31,26,94.27,0,0,rain,0,0,18,9.4,60,1013,88,5,242.6,0.9,2,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T09:00:00,29,34.4,25,79.05,0,0,,0,0,20.9,11.2,130,1014,50,10,453.5,1.6,5,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T10:00:00,30,35,24,70.28,0,0,rain,0,0,24.8,13,140,1014,50,10,605.5,2.2,6,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T11:00:00,32,37.8,24,62.7,0,0,,0,0,25.9,9.4,160,1013,50,10,745.1,2.7,7,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T12:00:00,32,36.7,23,59.03,0,0,,0,0,25.9,7.6,140,1012,50,10,695.5,2.5,7,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T13:00:00,33,38,23,55.79,0,0,,0,0,25.2,9.4,170,1011,50,10,773.8,2.8,8,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T14:00:00,33,39.1,24,59.26,0,0,,0,0,22.7,7.6,100,1010,50,10,645.3,2.3,6,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T15:00:00,33,39.1,24,59.26,0,0,,0,0,22.3,11.2,80,1009,50,10,470.2,1.7,5,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T16:00:00,33,39.1,24,59.26,0,0,,0,0,21.6,13,100,1009,25,10,314.1,1.1,3,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T17:00:00,32,39.1,25,66.57,0,0,,0,0,19.4,9.4,80,1009,25,10,183.7,0.7,2,30,Partially cloudy,partly-cloudy-day,VVNB
Hanoi,2025-10-02T18:00:00,29,33.5,24,74.46,0,0,,0,0,17.6,7.6,80,1009,92.6,10,24.1,0.1,0,3,Overcast,cloudy,VVNB
