feature,type
day_length_h,long_term
temp_lag1,long_term
temp_lag3,long_term
temp_lag7,long_term
sealevelpressure_lag1,long_term
sealevelpressure_lag7,long_term
sealevelpressure_lag3,long_term
day_cos,long_term
week_cos,long_term
dew_lag1,long_term
daylength_uv,long_term
dew_lag3,long_term
week_sin,long_term
day_sin,long_term
dew_lag7,long_term
solarradiation,long_term
cloudcover_lag1,long_term
cloudcover_lag7,long_term
month_cos,long_term
cloudcover_lag3,long_term
visibility,long_term
winddir,long_term
precip_lag3,long_term
precip_lag7,long_term
windgust,long_term
year,long_term
is_spring,long_term
precip_lag1,long_term
solarenergy,long_term
winddir_cos_lag3,long_term
