feature,type
cloudcover_lag7,combined
cloudcover_lag1,combined
dew_lag1,combined
windgust,combined
daylength_uv,combined
precip_lag1,combined
solarenergy,combined
solarradiation,combined
temp_lag3,combined
windspeed_lag1,combined
week_sin,combined
temp_lag7,combined
humidity_lag3,combined
winddir_cos_lag1,combined
cloudcover_lag3,combined
temp_lag1,combined
sealevelpressure_lag3,combined
uvindex,combined
sealevelpressure_lag1,combined
winddir,combined
precip_lag7,combined
sealevelpressure_lag7,combined
week_cos,combined
day_sin,combined
dew_lag3,combined
precip_lag3,combined
day_length_h,combined
is_spring,combined
visibility,combined
day_cos,combined
year,combined
month_cos,combined
winddir_cos_lag3,combined
dew_lag7,combined
