,correlation,mutual_info,lasso_coef,rf_importance,mean_rank
temp_lag1,0.8782089798299619,0.7873831584995035,0.2552452436936916,0.7301895603646728,1.25
dew_lag1,0.8128140647856897,0.5952736447162357,0.267444389255018,0.008156460015446124,4.25
temp_lag7,0.7594261455413139,0.5125256475587703,0.14628688574884624,0.004703753952278551,8.0
sealevelpressure_lag1,0.7983453554761226,0.5426649839563611,0.06366194945953259,0.0043384395064217755,8.5
daylength_uv,0.6649594460918237,0.5406448361856135,0.011804597793087715,0.02799628917647858,9.25
temp_lag3,0.8012613437916593,0.5646019051130882,0.06709872324722858,0.002874118806967113,9.5
day_cos,0.8281808835520064,0.6703839262185425,0.0,0.046675158129352905,10.5
solarradiation,0.6277482868283292,0.3384183737020612,0.013328824673689017,0.02562869226600423,11.5
visibility,0.373286508048423,0.2471886756476831,0.07696202117406255,0.006379064529734344,14.25
sealevelpressure_lag3,0.722861325622208,0.46118418179852405,0.015516174355633211,0.00265809138582883,14.5
day_length_h,0.7796777484572445,0.5701991270008002,0.0,0.004345863926529709,15.25
sealevelpressure_lag7,0.6994963941937568,0.4206244254053404,0.0,0.007066877288242829,18.0
solarenergy,0.6272317211365863,0.34577928733103125,0.0,0.01409247102489566,18.25
winddir,0.18070836470081947,0.199600196154198,0.0035150565202079235,0.019580233302605277,18.75
dew_lag3,0.7350719504535358,0.4861483982159398,0.0,0.0028253117768540542,20.25
week_cos,0.8137117787231517,0.5592589788069673,0.0,0.0020566448418754303,20.25
dew_lag7,0.699440323305657,0.4544264201529926,0.0,0.002853429343076012,21.5
day_sin,0.23359885176938394,0.3152735665196751,0.0,0.014035962378532494,21.75
windgust,0.0718683841967992,0.05617546279485719,0.04931045894084819,0.009653510018091364,23.0
cloudcover_lag1,0.20051463960581709,0.0900404854686574,0.005286845915019037,0.002935254737090651,23.0
week_sin,0.27795010387557934,0.3003033786187279,0.0,0.004267036169127673,23.5
month_cos,0.7326189207624076,0.4216942916981279,0.0,0.0003207259284313455,26.5
winddir_cos_lag1,0.35734789511902526,0.08493512078337684,0.0,0.003287691640804345,26.5
windspeed_lag1,0.050899249062464694,0.010693780204049652,0.05140270745894037,0.004418409365615385,27.25
cloudcover_lag3,0.16886035199906363,0.08831883463425605,0.0020181872291844885,0.0023411465745306614,27.5
cloudcover_lag7,0.10496302903488984,0.09163940614764776,0.001988617112444653,0.002544119066353957,27.75
humidity_lag3,0.06343124324675013,0.05627646397311192,0.013385604834545211,0.0026475889683543843,28.75
precip_lag7,0.17915749751624324,0.06726184404917568,0.006601457611992883,0.001874368926504461,29.0
precip_lag3,0.1604296412349172,0.05938315093294566,0.0058424835753025876,0.002115010078367369,29.25
uvindex,0.5964206512353133,0.2700133338472912,0.0,0.0003336118444609507,29.75
precip_lag1,0.1298291099651907,0.04811445989496521,0.009503044416665645,0.0021898153243336,29.75
is_spring,0.5922670290427019,0.22701048516066957,0.0,0.0012923264120788193,29.75
month_sin,0.4362724733012359,0.29533334288658697,0.0,0.001257540716933798,29.75
humidity_lag1,0.08665865978234043,0.07371701243465534,0.0,0.0032877901882703633,30.25
is_autumn,0.4822415579024596,0.19291577678430416,0.0,0.0015296627491311453,30.25
winddir_cos_lag3,0.24115589957906264,0.03521192710820298,0.0,0.002922923421071003,31.5
is_summer,0.3710471697154684,0.10204673495841798,0.0,3.8588614691504515e-05,33.25
winddir_cos_lag7,0.18631498474141206,0.04371865279652454,0.0,0.0025698576076329067,33.5
precipcover,0.043694517829367695,0.06077047043236261,0.0025965805424302247,0.0017733968888843802,34.25
precipprob,0.10104673923214946,0.05220909347857994,0.001292806824525811,0.0004672316168462007,35.0
is_winter,0.2566536508067697,0.06542409133913885,0.0,4.888738503893433e-05,35.5
winddir_sin_lag1,0.027561368689557688,0.050846388715899415,0.0,0.0028599415226490594,36.0
winddir_sin_lag3,0.0027407833093334886,0.036217188828596036,0.0,0.003026172994577106,36.5
humidity_lag7,0.06613331506882959,0.03350433553252952,0.0,0.002119934744617586,38.5
moonphase,0.0017959147228655986,0.0,0.0,0.0030293792488758583,38.75
windspeed_lag7,0.10230211684849042,0.0009301318289609561,0.0,0.0019813239703965653,39.5
windspeed_lag3,0.0817384405520552,0.024220645948597408,0.0,0.001907941910376265,39.5
winddir_sin_lag7,0.024836809888833633,0.010162847732311242,0.0,0.002248058801081478,40.5
year,0.04541515946538848,0.02354684493704573,0.0,0.001956135774675812,40.75
is_weekend,0.006255975969609404,0.007714405900257848,0.0,0.0002981947743084016,45.0
