iter	RMSE
0	5.029002461
1	4.919746685
2	4.810397681
3	4.70516138
4	4.609023326
5	4.510797761
6	4.416684211
7	4.323798034
8	4.235181637
9	4.147403672
10	4.065522657
11	3.98458616
12	3.900441466
13	3.822946024
14	3.749906513
15	3.676527405
16	3.600943707
17	3.532320455
18	3.467070958
19	3.399458454
20	3.334363297
21	3.271349453
22	3.213643599
23	3.157889299
24	3.100931086
25	3.044535571
26	2.993152798
27	2.940555846
28	2.888657112
29	2.842439355
30	2.796933545
31	2.752746481
32	2.70944715
33	2.665062296
34	2.624675389
35	2.584613424
36	2.544661618
37	2.505808267
38	2.470088271
39	2.435747569
40	2.403473737
41	2.373597447
42	2.341517423
43	2.310729145
44	2.282126581
45	2.253502073
46	2.224837694
47	2.198252039
48	2.17142998
49	2.145463178
50	2.120435759
51	2.096825171
52	2.075211816
53	2.053986343
54	2.032988125
55	2.011289805
56	1.991727869
57	1.9720909
58	1.952679441
59	1.933975131
60	1.915678511
61	1.899410911
62	1.882104197
63	1.866744232
64	1.851421703
65	1.837466358
66	1.822524957
67	1.808377938
68	1.795068373
69	1.782599897
70	1.769564862
71	1.756918041
72	1.74508739
73	1.733597264
74	1.723322879
75	1.713036097
76	1.70380978
77	1.695090349
78	1.685313183
79	1.676116779
80	1.667850667
81	1.659218576
82	1.650416706
83	1.641849488
84	1.633824258
85	1.626554994
86	1.619314432
87	1.611560901
88	1.604371862
89	1.598517092
90	1.591959139
91	1.58412876
92	1.577992852
93	1.57207549
94	1.565796477
95	1.559526806
96	1.554233802
97	1.549457377
98	1.544772595
99	1.539604433
100	1.534252058
101	1.529713706
102	1.524865055
103	1.521170966
104	1.516675745
105	1.511771714
106	1.50748437
107	1.502697642
108	1.498427112
109	1.493865099
110	1.490001979
111	1.486018221
112	1.482436336
113	1.478170739
114	1.474687203
115	1.471695099
116	1.468988125
117	1.465191036
118	1.461518121
119	1.457909647
120	1.455317051
121	1.452090257
122	1.448683264
123	1.445844708
124	1.442552017
125	1.439773555
126	1.437118217
127	1.434742566
128	1.432062715
129	1.429578333
130	1.426851723
131	1.424627261
132	1.421669863
133	1.418856238
