name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hanoi,2025-01-01,25,12,17.9,25,12,17.9,12.5,73.6,0,0,0,,0,0,17.6,13,115.7,1017.3,14.6,5,193,16.7,7,10,2025-01-01T06:33:47,2025-01-01T17:26:41,0.05,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-02,24.5,14.7,19.4,24.5,14.7,19.4,13.6,71.3,0,0,0,,0,0,16.2,9.4,27,1018.4,23.8,5,189.6,16.3,7,10,2025-01-02T06:34:06,2025-01-02T17:27:19,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-03,26,15,20.2,26,15,20.2,12.4,64.2,0,0,0,,0,0,26.6,13,43.1,1019.8,12.9,7,190.7,16.4,7,10,2025-01-03T06:34:23,2025-01-03T17:27:57,0.12,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-04,24,13,18.8,24,13,18.8,11.9,66.1,0,0,0,,0,0,24.5,14.8,132.1,1018.9,15.5,6.8,168,14.6,7,10,2025-01-04T06:34:40,2025-01-04T17:28:36,0.15,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-05,24.4,14.1,19,24.4,14.1,19,11.1,63.6,0,0,0,,0,0,25.9,11.2,295.9,1020.4,17.3,6.8,195.8,16.8,7,10,2025-01-05T06:34:55,2025-01-05T17:29:15,0.19,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-06,24,13,18.6,24,13,18.6,10.8,63.3,0,0,0,,0,0,22,16.6,101.1,1017.8,14.5,6.3,199.7,17.1,7,10,2025-01-06T06:35:09,2025-01-06T17:29:54,0.22,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-07,23,13,18.3,23,13,18.3,13.4,74.5,0,0,0,rain,0,0,22.3,11.2,110,1017.3,37.3,5.4,127.7,11.2,6,10,2025-01-07T06:35:22,2025-01-07T17:30:34,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-08,24,17,20.1,24,17,20.1,15.4,75.3,0.6,100,20.83,rain,0,0,22.7,16.6,110.5,1018,70.1,7.2,102.1,8.9,4,10,2025-01-08T06:35:33,2025-01-08T17:31:14,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-09,23,17,19.5,23,17,19.5,11.2,60.3,0,0,0,,0,0,38.2,20.5,47,1021.3,74.6,8.3,74.2,6.5,3,10,2025-01-09T06:35:43,2025-01-09T17:31:54,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-10,18,15,16.5,18,15,16.5,6.5,51.7,0,0,0,,0,0,31.7,20.5,23.1,1027.9,88.3,10,103.6,8.8,5,10,2025-01-10T06:35:52,2025-01-10T17:32:34,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-11,19,12,15.6,19,12,15.6,5.3,50.8,0,0,0,,0,0,33.5,22.3,12.6,1030.4,66.5,9.9,94.6,8,3,10,2025-01-11T06:36:00,2025-01-11T17:33:15,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-12,21,8.9,14.5,21,8.9,14.5,3.3,53.1,0,0,0,,0,0,26.6,16.6,41.3,1026.9,24.1,10.4,211,18.3,8,10,2025-01-12T06:36:06,2025-01-12T17:33:55,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-13,21.1,7.1,15,21.1,7.1,14.9,6.5,60.4,0,0,0,,0,0,24.1,9.4,117,1022,10.2,8.7,211.5,18.2,8,10,2025-01-13T06:36:11,2025-01-13T17:34:36,0.47,Clear,Clear conditions throughout the day.,clear-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2025-01-14,22.1,12,16.4,22.1,12,16.4,10.9,72.2,0,0,0,,0,0,17.6,11.2,67,1021.1,28.4,7.4,200.4,17.1,8,10,2025-01-14T06:36:15,2025-01-14T17:35:17,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
