feature,type
sealevelpressure_roll_mean_28,long_term
sealevelpressure_roll_mean_21,long_term
sealevelpressure_roll_mean_56,long_term
day_cos,long_term
temp_lag1,long_term
temp_lag7,long_term
sealevelpressure_roll_mean_14,long_term
temp_lag3,long_term
day_length_h,long_term
sealevelpressure_roll_mean_7,long_term
sealevelpressure_roll_mean_84,long_term
precip_roll_std_21,long_term
sealevelpressure_lag7,long_term
sealevelpressure,long_term
sealevelpressure_lag3,long_term
week_cos,long_term
cloudcover_roll_mean_84,long_term
daylength_uv,long_term
precip_roll_std_7,long_term
humidity_roll_std_56,long_term
sealevelpressure_lag1,long_term
cloudcover_roll_std_56,long_term
precip_roll_mean_14,long_term
windspeed_roll_mean_84,long_term
cloudcover_roll_std_84,long_term
precip_roll_std_56,long_term
sealevelpressure_roll_std_28,long_term
precip_roll_mean_56,long_term
sealevelpressure_roll_std_21,long_term
windspeed_roll_mean_56,long_term
