feature,type
dew,short_term
sealevelpressure_roll_mean_21,short_term
sealevelpressure,short_term
sealevelpressure_roll_mean_56,short_term
solarradiation,short_term
temp_lag1,short_term
sealevelpressure_roll_mean_28,short_term
sealevelpressure_lag7,short_term
day_cos,short_term
sealevelpressure_roll_mean_14,short_term
dew_lag1,short_term
day_length_h,short_term
daylength_uv,short_term
temp_lag3,short_term
sealevelpressure_roll_mean_84,short_term
sealevelpressure_roll_mean_7,short_term
temp_lag7,short_term
sealevelpressure_lag1,short_term
solarenergy,short_term
precip_roll_mean_56,short_term
week_cos,short_term
sealevelpressure_lag3,short_term
winddir,short_term
humidity_roll_std_84,short_term
windspeed_roll_mean_84,short_term
dew_lag3,short_term
humidity_roll_std_56,short_term
precip_roll_mean_28,short_term
dew_lag7,short_term
cloudcover_roll_std_84,short_term
