,correlation,mutual_info,lasso_coef,rf_importance,mean_rank
dew,0.8666626955260609,0.7182647586145299,0.4742411512962647,0.6706959501270114,1.5
sealevelpressure_roll_mean_21,0.8190754533642116,0.635152034733272,0.03700921137067268,0.025561427974811927,5.5
sealevelpressure,0.845102042917844,0.6684479341160499,0.0739846056713227,0.0038244423067993988,5.75
sealevelpressure_roll_mean_56,0.7977054108257237,0.6231269109248432,0.06444642269618546,0.039446179681900125,6.0
solarradiation,0.6241950959812871,0.3344295017043972,0.01756366601945014,0.030612792148207797,16.25
temp_lag1,0.8756562440469511,0.7777686978572085,0.0,0.038765980776555437,18.25
sealevelpressure_roll_mean_28,0.8223798913591664,0.6678326003111388,0.0,0.041601135547168294,19.5
sealevelpressure_lag7,0.7005764328191397,0.4170776820065525,0.006765558136177664,0.0009269221942294864,21.75
day_cos,0.8268587821048701,0.6624011036173347,0.0,0.002528964663419636,23.5
sealevelpressure_roll_mean_14,0.8069000173466051,0.620983622631222,0.0,0.0068395446338329335,23.5
dew_lag1,0.8100718194767895,0.5972890279893552,0.0,0.0013795535743585914,26.75
day_length_h,0.7782621760971133,0.5663776772673779,0.0,0.002641074041017688,26.75
daylength_uv,0.6620534179959907,0.5331339391018082,0.0,0.01133364669545446,27.75
temp_lag3,0.7985895546566613,0.5512803108673854,0.0,0.0012642458555606009,29.0
sealevelpressure_roll_mean_84,0.7122341895795287,0.48244658147567954,0.0,0.002697029778650019,30.0
sealevelpressure_roll_mean_7,0.7764659135089709,0.5325166556675125,0.0,0.0013472327007655147,30.0
temp_lag7,0.7605608488274913,0.5012033216554412,0.0,0.0012282119462229226,31.5
sealevelpressure_lag1,0.793987931786772,0.5346536658724528,0.0,0.0010071472442971922,32.0
solarenergy,0.6236549339008531,0.34111093673726245,0.0,0.014934257867511852,32.25
precip_roll_mean_56,0.5298970951091511,0.3764742436212547,0.0,0.001265173687451361,37.0
week_cos,0.812862105727587,0.5588915362823204,0.0,0.0007552389595542144,37.25
sealevelpressure_lag3,0.7196568678671246,0.4575323300630423,0.0,0.0008853729489545095,37.25
winddir,0.18465561623199644,0.19655663639853493,0.002370690410409402,0.005928536787939123,38.25
humidity_roll_std_84,0.5188491024973245,0.274178612782503,0.0,0.0012726389872276759,41.75
windspeed_roll_mean_84,0.6130040919044375,0.35827545119265025,0.0,0.0008825259807311645,41.75
dew_lag3,0.7326917931434382,0.4921694573976394,0.0,0.0007390634172939366,42.75
humidity_roll_std_56,0.5260805461302529,0.2672418020758931,0.0,0.0010916069746007113,43.75
precip_roll_mean_28,0.5288646921943311,0.3829687600620364,0.0,0.0007952255838302511,44.75
dew_lag7,0.6993102099282315,0.4475910914135768,0.0,0.0007014506178549657,46.5
cloudcover_roll_std_84,0.561332250901454,0.28911370109362267,0.0,0.000801576995254411,47.0
pressure_humidity,0.050591851731575266,0.17812073164906916,4.790108921868942e-05,0.008233420195838064,48.25
precip_roll_mean_14,0.43450407113237327,0.2837540553305393,0.0,0.0009127848952589664,48.5
winddir_cos,0.42017576227701,0.14755192119985594,0.0,0.004652540032436311,49.25
visibility,0.3581727203728816,0.23813277359648133,0.0,0.001134979213512914,50.0
precip_roll_mean_21,0.490621099784657,0.35688334500324714,0.0,0.0007508698028453965,50.25
precip_roll_std_14,0.4037242366130163,0.3278988594238914,0.0,0.0008067327660771678,50.75
precip_roll_std_56,0.5073682125195212,0.3830920146947032,0.0,0.0006787080198626789,51.75
cloudcover_roll_std_56,0.5017501254125375,0.3156872548666909,0.0,0.0007170399586470058,52.25
precip_roll_std_84,0.4478794053218796,0.3642887430100945,0.0,0.0007129012360617905,53.25
precip_roll_mean_84,0.43223111426459077,0.29758081035647965,0.0,0.0007523886608327132,53.75
month_cos,0.732967868597906,0.4429307887792615,0.0,0.00014983785993964463,54.25
sealevelpressure_roll_std_21,0.4953405758317194,0.21538464908892951,0.0,0.0007228557948181333,55.5
cloudcover,0.23123875755368556,0.12665484660573245,0.0,0.004431863883527166,56.75
sealevelpressure_roll_std_28,0.47142592573669306,0.2389471812938444,0.0,0.0007124786062102225,57.0
precip_roll_std_28,0.4786856477378728,0.37708386506131264,0.0,0.0005966094147276042,57.25
humidity_roll_std_28,0.44936943063761453,0.18107497258346772,0.0,0.0007582438120617083,57.75
windspeed_roll_mean_56,0.5234867065873556,0.2863099608499944,0.0,0.0006109725269921283,57.75
precip_roll_std_21,0.4468569081578506,0.3751807063258452,0.0,0.0006028179416747141,59.0
sealevelpressure_roll_std_7,0.3589476198273871,0.0873532461092319,0.0,0.0011544542254965568,59.25
humidity,0.08991903491964023,0.2021700489307099,0.0,0.0023707400324677,60.0
humidity_roll_std_21,0.4290043492750105,0.1639518772314661,0.0,0.0007540767975966635,61.0
cloudcover_roll_mean_14,0.2004903009067637,0.12878324379269301,0.001459354429170654,0.0006577356986666795,61.5
uvindex,0.59364022377518,0.2683123877391247,0.0,0.0001991324663497367,61.75
day_sin,0.21912014061405005,0.2987439504612004,0.0,0.0007149325912687895,62.0
windspeed_roll_std_21,0.19192644059219935,0.1404235314263298,0.0,0.0010107368933169895,62.5
sealevelpressure_roll_std_84,0.1843402873382469,0.18422238010103342,0.0,0.0009117289902189397,62.5
cloudcover_lag1,0.20367779436146807,0.09037953187135184,0.0,0.0011618803152169956,63.5
windspeed_roll_std_28,0.1857363440371281,0.17028388932536132,0.0,0.0009000534090016562,63.5
precip_roll_std_7,0.31606275399024863,0.21794946095569045,0.0,0.0007093103303548004,63.5
humidity_roll_std_7,0.28196129605038167,0.0795482911344143,0.0,0.001102593232123547,64.0
humidity_roll_mean_84,0.3825428415306314,0.21213341372276862,0.0,0.0006435293198761731,64.0
cloudcover_lag3,0.1666929502672063,0.08315833086516466,0.0017287437773550597,0.0007435452173340885,64.0
is_spring,0.5779692700477962,0.20299151220035339,0.0,9.468092157905826e-05,65.0
windspeed_sq,0.0384781747967552,0.023680688708697772,0.0012979650804360648,0.001961784252722642,65.25
cloudcover_roll_mean_21,0.1878081780738042,0.1438781762585153,0.000681172936332825,0.0005901852438527273,65.75
winddir_cos_lag1,0.3500361028047751,0.08447678688883542,0.0,0.0008663855674841493,65.75
cloudcover_roll_mean_28,0.16735015452375943,0.13439813714473736,0.0,0.0009736736749678667,66.0
month_sin,0.4230008308379005,0.28394020419872046,0.0,0.00015982229559219355,66.75
sealevelpressure_roll_std_14,0.46844696458899404,0.17697882798606024,0.0,0.0006035646369099595,67.0
humidity_roll_std_14,0.36682394458617923,0.1149190524217154,0.0,0.0007176254625421319,67.5
precip_roll_mean_7,0.33214197755651187,0.19597776559358637,0.0,0.0006267845911985032,68.0
windspeed_roll_std_14,0.1851373026511441,0.10554306013796388,0.0,0.0008696171699048432,69.0
is_autumn,0.4786359946843832,0.19604841054268052,0.0,7.00364031845216e-06,70.0
cloudcover_roll_std_28,0.35478874018379936,0.15771821551491172,0.0,0.0006332178850839865,70.0
windspeed_roll_mean_28,0.3599111294689498,0.15145121057238686,0.0,0.0006070999451439068,71.0
sealevelpressure_roll_std_56,0.3309775390422289,0.19768714239185492,0.0,0.0005461410796924921,71.25
precip,0.09422779858303433,0.07023563585397685,0.0,0.002170867060208297,71.25
week_sin,0.262352316837769,0.289374994775653,0.0,0.00014316157681424426,71.25
windspeed_roll_mean_21,0.3182399947546361,0.11766890541144637,0.0,0.0006966083939600909,71.5
windspeed_roll_mean_14,0.25800538229955544,0.06885452382349833,0.0,0.0008000108243098573,71.75
humidity_roll_mean_56,0.3059189678771687,0.1908696482887402,0.0,0.000594348244724961,72.0
winddir_cos_lag7,0.18792073072324023,0.04875064610780466,0.0,0.0009411649315326172,72.25
windgust,0.05950512026812906,0.054237911162650754,0.0,0.00579601201231239,72.25
windspeed_roll_std_84,0.025334255284388433,0.18332417028235426,0.0,0.0008016920428852061,73.5
cloudcover_roll_mean_84,0.16603786520609734,0.19042198701544422,0.0,0.0006776653830608056,74.25
cloudcover_roll_std_21,0.3192723225472263,0.1392506371155795,0.0,0.0005523618909114038,76.0
humidity_lag1,0.09765003324058105,0.07660938999413958,0.0,0.0008925826542738219,76.0
winddir_sin,0.044127015132987835,0.08537816588675451,0.0,0.0009246325220709721,76.5
cloudcover_roll_std_14,0.25084593513397413,0.11945664393807576,0.0,0.0006091358055787985,76.75
windspeed,0.058311065041163866,0.03157990269536892,0.0,0.0023684455517782805,77.0
winddir_cos_lag3,0.23404987116194828,0.036750074410589306,0.0,0.0007578295641937256,77.75
windspeed_roll_std_56,0.13531724168360326,0.17811605248815798,0.0,0.0006176478157989083,78.25
windspeed_roll_mean_7,0.16737715583494434,0.03424966423830256,0.0,0.0008440834208963687,79.0
precip_lag3,0.15715575104611856,0.05628251923022631,0.0,0.0007662234857124834,79.75
