,correlation,mutual_info,lasso_coef,rf_importance,mean_rank
sealevelpressure_roll_mean_28,0.817367137678916,0.6435179769458879,0.08174199483531304,0.25470184620194936,2.75
sealevelpressure_roll_mean_21,0.8139567448568662,0.6456274262754791,0.07515645271793184,0.04055412129041158,3.5
sealevelpressure_roll_mean_56,0.7913726655381029,0.6207698084568403,0.07316781428184228,0.2969523898968842,4.5
dew,0.8100499961711788,0.5901980182130555,0.21512792496551086,0.0378425296512319,4.75
sealevelpressure,0.7939832265408772,0.5297047906863757,0.052662830859508916,0.01797247247233772,7.5
sealevelpressure_roll_mean_14,0.8009352814488185,0.617900665865645,0.003981678563440105,0.017316917286593993,7.75
daylength_uv,0.6141995958107491,0.44281896016042843,0.006413941024675106,0.007625581785783247,16.25
day_cos,0.8307427995088786,0.6598872593079506,0.0,0.06494613144521928,18.625
sealevelpressure_lag7,0.7060602010674606,0.4450296237548903,0.0166460000636687,0.0020665190830952813,19.75
temp_lag3,0.779652249152383,0.5291243668302918,0.021824165062276663,0.0017374886666758286,21.0
temp_lag1,0.8274037031362503,0.6135123798936979,0.0,0.012523222966659097,21.875
week_cos,0.8175293211265886,0.5866575890635843,0.0,0.008318584213902627,23.125
solarradiation,0.5696122709343275,0.23871626510196275,0.01761453333425657,0.00598522537447979,23.25
day_length_h,0.7844961590472276,0.5775437496849523,0.0,0.01279057783314003,24.375
sealevelpressure_roll_mean_7,0.7628773869026999,0.5267625365042017,0.0,0.003584901866076714,28.125
sealevelpressure_roll_mean_84,0.7028844262259208,0.4730674042729355,0.0,0.007208359928386729,29.625
sealevelpressure_lag1,0.7490046689202503,0.45349436589893166,0.0,0.0023317858161127033,32.125
dew_lag1,0.7626132897159715,0.5213512299011351,0.0,0.001794035161160325,36.375
temp_lag7,0.7558365100865652,0.45482574394538045,0.0,0.0018181935048533692,36.375
precip_roll_std_56,0.5053770661161542,0.3957545867323331,0.0,0.002423905770822313,37.875
precip_roll_mean_56,0.5267201402738777,0.35943039654435704,0.0,0.0024143224466759744,38.625
windspeed_roll_mean_84,0.6193038503358469,0.38052824847632305,0.0,0.0018445749433593885,40.125
solarenergy,0.5691208009546145,0.2332205864969552,0.0,0.0024727884819259627,40.625
cloudcover_roll_std_84,0.5593550173840041,0.30245886860512705,0.0,0.0021167805598165134,40.625
humidity_roll_std_56,0.521103596659917,0.29177005752330487,0.0,0.0022701766429252257,42.125
sealevelpressure_lag3,0.7034588317600139,0.4328501431355427,0.0,0.0016369290661066647,42.875
humidity_roll_std_84,0.5120570687195152,0.2836978589292407,0.0,0.002061265267250245,44.625
winddir,0.17409383661276484,0.11056942122902313,0.0023633067749822146,0.008237207037812642,45.75
day_sin,0.20461901768513677,0.29633374143111624,0.0,0.010367300558638217,46.375
cloudcover_roll_std_56,0.504780699728075,0.29382950056925505,0.0,0.0018192168888315314,46.375
humidity_roll_std_21,0.421496937891321,0.19598922108896666,0.0,0.002453418252945333,48.625
