datetime,target_temp_t+3
2015-01-08,13.0
2015-01-09,15.2
2015-01-10,14.6
2015-01-11,14.5
2015-01-12,15.1
2015-01-13,15.8
2015-01-14,16.6
2015-01-15,17.7
2015-01-16,17.9
2015-01-17,17.3
2015-01-18,18.0
2015-01-19,18.7
2015-01-20,19.6
2015-01-21,21.1
2015-01-22,21.7
2015-01-23,21.5
2015-01-24,21.4
2015-01-25,21.9
2015-01-26,22.2
2015-01-27,18.7
2015-01-28,13.6
2015-01-29,12.8
2015-01-30,14.3
2015-01-31,16.5
2015-02-01,14.9
2015-02-02,12.7
2015-02-03,13.7
2015-02-04,13.9
2015-02-05,15.6
2015-02-06,15.6
2015-02-07,16.0
2015-02-08,15.6
2015-02-09,18.0
2015-02-10,17.7
2015-02-11,17.1
2015-02-12,20.0
2015-02-13,21.5
2015-02-14,20.6
2015-02-15,21.0
2015-02-16,21.4
2015-02-17,22.6
2015-02-18,23.6
2015-02-19,23.3
2015-02-20,23.7
2015-02-21,24.3
2015-02-22,24.7
2015-02-23,24.8
2015-02-24,24.5
2015-02-25,25.1
2015-02-26,21.1
2015-02-27,18.6
2015-02-28,21.9
2015-03-01,19.4
2015-03-02,19.5
2015-03-03,18.3
2015-03-04,16.2
2015-03-05,18.4
2015-03-06,20.3
2015-03-07,19.6
2015-03-08,17.9
2015-03-09,16.0
2015-03-10,17.2
2015-03-11,19.7
2015-03-12,22.6
2015-03-13,24.4
2015-03-14,25.3
2015-03-15,26.2
2015-03-16,26.1
2015-03-17,24.6
2015-03-18,24.5
2015-03-19,23.4
2015-03-20,23.0
2015-03-21,20.2
2015-03-22,19.7
2015-03-23,20.4
2015-03-24,22.0
2015-03-25,23.2
2015-03-26,24.6
2015-03-27,25.8
2015-03-28,26.5
2015-03-29,26.7
2015-03-30,27.8
2015-03-31,28.0
2015-04-01,27.9
2015-04-02,27.6
2015-04-03,25.8
2015-04-04,25.0
2015-04-05,19.5
2015-04-06,18.0
2015-04-07,17.4
2015-04-08,20.1
2015-04-09,23.3
2015-04-10,23.8
2015-04-11,23.4
2015-04-12,24.0
2015-04-13,23.9
2015-04-14,25.4
2015-04-15,27.4
2015-04-16,28.6
2015-04-17,29.6
2015-04-18,26.5
2015-04-19,22.3
2015-04-20,21.8
2015-04-21,23.5
2015-04-22,24.5
2015-04-23,25.5
2015-04-24,26.7
2015-04-25,27.2
2015-04-26,28.2
2015-04-27,28.5
2015-04-28,29.3
2015-04-29,30.0
2015-04-30,29.8
2015-05-01,30.3
2015-05-02,29.3
2015-05-03,30.4
2015-05-04,30.0
2015-05-05,30.8
2015-05-06,27.3
2015-05-07,28.7
2015-05-08,29.9
2015-05-09,27.0
2015-05-10,28.8
2015-05-11,30.2
2015-05-12,30.8
2015-05-13,27.3
2015-05-14,28.5
2015-05-15,30.8
2015-05-16,31.0
2015-05-17,30.8
2015-05-18,28.0
2015-05-19,30.4
2015-05-20,29.9
2015-05-21,27.4
2015-05-22,30.5
2015-05-23,32.2
2015-05-24,32.7
2015-05-25,33.2
2015-05-26,33.7
2015-05-27,33.5
2015-05-28,30.1
2015-05-29,30.5
2015-05-30,29.9
2015-05-31,30.4
2015-06-01,31.1
2015-06-02,28.0
2015-06-03,27.8
2015-06-04,27.4
2015-06-05,28.9
2015-06-06,30.3
2015-06-07,30.4
2015-06-08,28.9
2015-06-09,28.3
2015-06-10,30.0
2015-06-11,29.6
2015-06-12,28.8
2015-06-13,30.8
2015-06-14,31.2
2015-06-15,31.4
2015-06-16,31.3
2015-06-17,29.1
2015-06-18,30.9
2015-06-19,30.0
2015-06-20,30.8
2015-06-21,27.8
2015-06-22,29.3
2015-06-23,32.0
2015-06-24,32.9
2015-06-25,33.0
2015-06-26,33.9
2015-06-27,34.4
2015-06-28,34.7
2015-06-29,34.5
2015-06-30,34.6
2015-07-01,31.4
2015-07-02,27.4
2015-07-03,28.7
2015-07-04,29.9
2015-07-05,29.9
2015-07-06,30.7
2015-07-07,30.4
2015-07-08,28.0
2015-07-09,31.1
2015-07-10,32.0
2015-07-11,32.1
2015-07-12,31.3
2015-07-13,29.2
2015-07-14,29.9
2015-07-15,29.6
2015-07-16,29.6
2015-07-17,28.9
2015-07-18,28.6
2015-07-19,30.9
2015-07-20,30.4
2015-07-21,28.3
2015-07-22,27.8
2015-07-23,27.7
2015-07-24,28.4
2015-07-25,27.9
2015-07-26,26.1
2015-07-27,26.8
2015-07-28,26.6
2015-07-29,25.0
2015-07-30,24.8
2015-07-31,25.4
2015-08-01,25.5
2015-08-02,26.9
2015-08-03,27.8
2015-08-04,29.2
2015-08-05,30.6
2015-08-06,30.5
2015-08-07,31.2
2015-08-08,30.5
2015-08-09,30.5
2015-08-10,29.2
2015-08-11,30.9
2015-08-12,31.9
2015-08-13,32.3
2015-08-14,32.7
2015-08-15,32.2
2015-08-16,30.5
2015-08-17,28.6
2015-08-18,31.0
2015-08-19,31.4
2015-08-20,31.8
2015-08-21,31.7
2015-08-22,31.6
2015-08-23,29.5
2015-08-24,29.7
2015-08-25,29.6
2015-08-26,27.9
2015-08-27,27.4
2015-08-28,28.5
2015-08-29,28.7
2015-08-30,28.6
2015-08-31,26.5
2015-09-01,27.4
2015-09-02,30.1
2015-09-03,31.2
2015-09-04,30.1
2015-09-05,26.5
2015-09-06,26.9
2015-09-07,27.7
2015-09-08,29.2
2015-09-09,28.4
2015-09-10,25.4
2015-09-11,27.1
2015-09-12,25.4
2015-09-13,27.1
2015-09-14,27.4
2015-09-15,25.8
2015-09-16,28.7
2015-09-17,29.3
2015-09-18,26.8
2015-09-19,25.9
2015-09-20,28.0
2015-09-21,29.9
2015-09-22,30.5
2015-09-23,28.6
2015-09-24,29.6
2015-09-25,30.3
2015-09-26,30.8
2015-09-27,29.9
2015-09-28,29.6
2015-09-29,27.6
2015-09-30,28.6
2015-10-01,28.9
2015-10-02,27.4
2015-10-03,27.4
2015-10-04,29.0
2015-10-05,26.8
2015-10-06,24.4
2015-10-07,20.2
2015-10-08,23.0
2015-10-09,22.6
2015-10-10,23.7
2015-10-11,23.9
2015-10-12,26.4
2015-10-13,27.0
2015-10-14,27.2
2015-10-15,27.2
2015-10-16,26.9
2015-10-17,27.3
2015-10-18,27.4
2015-10-19,27.5
2015-10-20,26.9
2015-10-21,26.7
2015-10-22,26.8
2015-10-23,27.3
2015-10-24,27.8
2015-10-25,28.3
2015-10-26,28.3
2015-10-27,27.9
2015-10-28,25.4
2015-10-29,20.8
2015-10-30,22.7
2015-10-31,23.7
2015-11-01,24.7
2015-11-02,25.5
2015-11-03,26.8
2015-11-04,25.8
2015-11-05,25.7
2015-11-06,25.8
2015-11-07,25.8
2015-11-08,26.3
2015-11-09,27.2
2015-11-10,21.9
2015-11-11,21.9
2015-11-12,25.9
2015-11-13,28.3
2015-11-14,29.0
2015-11-15,28.1
2015-11-16,27.5
2015-11-17,25.4
2015-11-18,24.2
2015-11-19,25.4
2015-11-20,25.6
2015-11-21,24.8
2015-11-22,21.9
2015-11-23,17.0
2015-11-24,19.5
2015-11-25,19.9
2015-11-26,20.8
2015-11-27,21.2
2015-11-28,24.4
2015-11-29,25.7
2015-11-30,20.6
